1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E10000006CBCF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:45:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 23:45:01 PDT 2023
Total Mission Samples:  4895
Total Device Samples:  27852
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/10/23, 9:45:01 AM,C,30.609
4/10/23, 10:45:01 AM,C,34.106
4/10/23, 11:45:01 AM,C,34.605
4/10/23, 12:45:01 PM,C,34.106
4/10/23, 1:45:01 PM,C,33.107
4/10/23, 2:45:01 PM,C,32.108
4/10/23, 3:45:01 PM,C,30.11
4/10/23, 4:45:01 PM,C,29.61
4/10/23, 5:45:01 PM,C,25.111
4/10/23, 6:45:01 PM,C,19.608
4/10/23, 7:45:01 PM,C,18.107
4/10/23, 8:45:01 PM,C,16.605
4/10/23, 9:45:01 PM,C,14.101
4/10/23, 10:45:01 PM,C,14.602
4/10/23, 11:45:01 PM,C,14.602
4/11/23, 12:45:01 AM,C,14.602
4/11/23, 1:45:01 AM,C,14.101
4/11/23, 2:45:01 AM,C,13.099
4/11/23, 3:45:01 AM,C,12.097
4/11/23, 4:45:01 AM,C,11.596
4/11/23, 5:45:01 AM,C,8.087
4/11/23, 6:45:01 AM,C,8.589
4/11/23, 7:45:01 AM,C,13.6
4/11/23, 8:45:01 AM,C,22.611
4/11/23, 9:45:01 AM,C,27.611
4/11/23, 10:45:01 AM,C,29.61
4/11/23, 11:45:01 AM,C,29.11
4/11/23, 12:45:01 PM,C,28.111
4/11/23, 1:45:01 PM,C,29.61
4/11/23, 2:45:01 PM,C,28.111
4/11/23, 3:45:01 PM,C,28.111
4/11/23, 4:45:01 PM,C,24.611
4/11/23, 5:45:01 PM,C,23.111
4/11/23, 6:45:01 PM,C,18.607
4/11/23, 7:45:01 PM,C,15.603
4/11/23, 8:45:01 PM,C,12.598
4/11/23, 9:45:01 PM,C,11.596
4/11/23, 10:45:01 PM,C,11.596
4/11/23, 11:45:01 PM,C,10.092
4/12/23, 12:45:01 AM,C,10.594
4/12/23, 1:45:01 AM,C,9.09
4/12/23, 2:45:01 AM,C,10.594
4/12/23, 3:45:01 AM,C,11.095
4/12/23, 4:45:01 AM,C,10.594
4/12/23, 5:45:01 AM,C,10.594
4/12/23, 6:45:01 AM,C,10.594
4/12/23, 7:45:01 AM,C,11.095
4/12/23, 8:45:01 AM,C,11.596
4/12/23, 9:45:01 AM,C,12.598
4/12/23, 10:45:01 AM,C,14.101
4/12/23, 11:45:01 AM,C,17.606
4/12/23, 12:45:01 PM,C,20.109
4/12/23, 1:45:01 PM,C,19.608
4/12/23, 2:45:01 PM,C,17.606
4/12/23, 3:45:01 PM,C,16.605
4/12/23, 4:45:01 PM,C,14.101
4/12/23, 5:45:01 PM,C,13.6
4/12/23, 6:45:01 PM,C,12.097
4/12/23, 7:45:01 PM,C,11.596
4/12/23, 8:45:01 PM,C,11.596
4/12/23, 9:45:01 PM,C,11.095
4/12/23, 10:45:01 PM,C,11.596
4/12/23, 11:45:01 PM,C,11.095
4/13/23, 12:45:01 AM,C,11.095
4/13/23, 1:45:01 AM,C,11.095
4/13/23, 2:45:01 AM,C,11.095
4/13/23, 3:45:01 AM,C,11.095
4/13/23, 4:45:01 AM,C,11.095
4/13/23, 5:45:01 AM,C,11.095
4/13/23, 6:45:01 AM,C,10.594
4/13/23, 7:45:01 AM,C,11.095
4/13/23, 8:45:01 AM,C,18.107
4/13/23, 9:45:01 AM,C,21.61
4/13/23, 10:45:01 AM,C,17.606
4/13/23, 11:45:01 AM,C,15.603
4/13/23, 12:45:01 PM,C,15.603
4/13/23, 1:45:01 PM,C,16.605
4/13/23, 2:45:01 PM,C,15.103
4/13/23, 3:45:01 PM,C,13.6
4/13/23, 4:45:01 PM,C,14.101
4/13/23, 5:45:01 PM,C,12.598
4/13/23, 6:45:01 PM,C,12.097
4/13/23, 7:45:01 PM,C,11.095
4/13/23, 8:45:01 PM,C,10.594
4/13/23, 9:45:01 PM,C,10.092
4/13/23, 10:45:01 PM,C,9.09
4/13/23, 11:45:01 PM,C,8.589
4/14/23, 12:45:01 AM,C,8.589
4/14/23, 1:45:01 AM,C,7.586
4/14/23, 2:45:01 AM,C,5.58
4/14/23, 3:45:01 AM,C,5.58
4/14/23, 4:45:01 AM,C,6.583
4/14/23, 5:45:01 AM,C,5.078
4/14/23, 6:45:01 AM,C,7.084
4/14/23, 7:45:01 AM,C,8.589
4/14/23, 8:45:01 AM,C,15.103
4/14/23, 9:45:01 AM,C,20.109
4/14/23, 10:45:01 AM,C,20.609
4/14/23, 11:45:01 AM,C,23.111
4/14/23, 12:45:01 PM,C,22.611
4/14/23, 1:45:01 PM,C,23.111
4/14/23, 2:45:01 PM,C,20.109
4/14/23, 3:45:01 PM,C,21.61
4/14/23, 4:45:01 PM,C,21.11
4/14/23, 5:45:01 PM,C,16.605
4/14/23, 6:45:01 PM,C,13.099
4/14/23, 7:45:01 PM,C,11.095
4/14/23, 8:45:01 PM,C,8.589
4/14/23, 9:45:01 PM,C,8.087
4/14/23, 10:45:01 PM,C,5.58
4/14/23, 11:45:01 PM,C,6.081
4/15/23, 12:45:01 AM,C,6.583
4/15/23, 1:45:01 AM,C,5.58
4/15/23, 2:45:01 AM,C,6.583
4/15/23, 3:45:01 AM,C,7.084
4/15/23, 4:45:01 AM,C,6.583
4/15/23, 5:45:01 AM,C,6.081
4/15/23, 6:45:01 AM,C,6.081
4/15/23, 7:45:01 AM,C,8.589
4/15/23, 8:45:01 AM,C,16.104
4/15/23, 9:45:01 AM,C,21.11
4/15/23, 10:45:01 AM,C,25.111
4/15/23, 11:45:01 AM,C,26.611
4/15/23, 12:45:01 PM,C,28.611
4/15/23, 1:45:01 PM,C,30.11
4/15/23, 2:45:01 PM,C,29.11
4/15/23, 3:45:01 PM,C,26.111
4/15/23, 4:45:01 PM,C,25.111
4/15/23, 5:45:01 PM,C,22.11
4/15/23, 6:45:01 PM,C,16.104
4/15/23, 7:45:01 PM,C,12.598
4/15/23, 8:45:01 PM,C,8.589
4/15/23, 9:45:01 PM,C,7.586
4/15/23, 10:45:01 PM,C,11.095
4/15/23, 11:45:01 PM,C,9.591
4/16/23, 12:45:01 AM,C,7.084
4/16/23, 1:45:01 AM,C,6.583
4/16/23, 2:45:01 AM,C,8.589
4/16/23, 3:45:01 AM,C,9.09
4/16/23, 4:45:01 AM,C,8.087
4/16/23, 5:45:01 AM,C,8.087
4/16/23, 6:45:01 AM,C,8.589
4/16/23, 7:45:01 AM,C,11.596
4/16/23, 8:45:01 AM,C,18.107
4/16/23, 9:45:01 AM,C,23.611
4/16/23, 10:45:01 AM,C,26.611
4/16/23, 11:45:01 AM,C,26.611
4/16/23, 12:45:01 PM,C,26.111
4/16/23, 1:45:01 PM,C,26.111
4/16/23, 2:45:01 PM,C,26.111
4/16/23, 3:45:01 PM,C,24.611
4/16/23, 4:45:01 PM,C,23.611
4/16/23, 5:45:01 PM,C,20.109
